#,Tracker,Status,Priority,Subject,Assignee,Updated
24090,??????,?????,??????," ? ?????? ""??????? ???????"" ?? ???????????? ?????? ""TouYinger""",Uliana Shtefanovych,02/02/2025 07:39 PM
24089,??????,?????,???????,"??? ?????????? ?? ????????? «?????? ?????????? Mercedes-Benz SSK Trossi 1932 ""Black Prince"" by CMC, Scale 1:18» ???? «?????????? ???????? ?? ????????!»",????????? ??????????,02/02/2025 05:52 PM
24088,??????,?????,??????????,"?????? ""??????? Rozetka"" ?? ?????????????? ? ???????? ????",?????? ??????,02/02/2025 12:14 PM
24087,??????,?????,??????,"?????????????? ????? ????????? ????? ? ??????? ""??????""",Vadym Prochnyi,02/02/2025 01:01 AM
24086,??????,?????,??????,???????? ?????? ???????????? ? ???????????? ?????,Vadym Prochnyi,02/02/2025 12:19 AM
24085,??????,?????,??????????,"?????? ????? ?????? ""? ???"" ?????????? ?????? ????????",????? ???????,02/01/2025 11:50 PM
24084,??????,?????,??????????,"?????? ????? ""? ???""-?????? ????????","",02/01/2025 11:47 PM
24083,??????,?????,??????,??? ?????? ????????? ??????? ?????????????? ??????????. ,????????? ??????????,02/01/2025 08:05 PM
24082,??????,?????,??????,"? ?????? ""? ???"" ? ??????? ???? ????????? ?????? ????????",Uliana Shtefanovych,02/01/2025 07:56 PM
24081,??????,?????,??????,??? ????????? ?????? ????????? ????? ??????? ???????? ???? ?. ?????,????????? ??????????,02/01/2025 07:44 PM
24080,??????,?????,??????,?????????? ??????>C?????????>C???????? - ?? ???????????? ?????,????? ???????,02/01/2025 06:59 PM
24079,??????,?????,??????,?????????>??????? ?????????????>?????????? ?????????? - ?? ???????????? ?????,????? ???????,02/01/2025 06:56 PM
24078,??????,?????,??????,?????????>??????? ?????????????>???????? - ?? ???????????? ?????,????? ???????,02/01/2025 06:54 PM
24077,??????,?????,??????????,?????????>???? ? ????? ???????>???????????? - ?? ???????????? ?????,????? ???????,02/01/2025 06:45 PM
24076,??????,?????,??????????,?????????>??????? ???????>???????? ?????-?? ???????????? ????? ????,????? ???????,02/01/2025 06:35 PM
24075,??????,?????,??????,"????? ???????? ?????????? ???????? ?????, ??????????? ??????? ""TouYinger""",????? ???????,02/01/2025 06:18 PM
24074,??????,?????,???????,"?????????? ?????????? ?? ?????????  ????? ? ???????  "" ?????????? ? ??????""",Lubov Berozkina,02/01/2025 05:41 PM
24073,??????,?????,??????????,"?????? ""???????"" ?? ?????????????",????????? ??????????,02/01/2025 05:41 PM
24072,??????,?????,??????????,"? ?????? ""???????"" ?? ??????????? ?????????? ?????? ?? ??????? ????????",????????? ???????,02/01/2025 05:40 PM
24071,??????,?????,??????????,?? ???????? Hi-Fi ???????????? ??????? ???????? ???? ??????,"",02/01/2025 05:36 PM
24070,??????,?????,??????,"?????? ""????? ?? ????????"" ?????????? ?????????? ??????? ""????????"" ?? ""???????? ?????"" ? ??????????????? ??????",Svitlana Kovalova,02/01/2025 05:35 PM
24069,??????,?????,??????????,"? ???????? ????????????? ???? ""????????????? ???????"" ?? ????? ??????? ????? ??? ?????? ????????? ??? ?????? ??????",Nadiia Panasiuk,02/01/2025 05:33 PM
24068,??????,?????,???????,"????????? ?????? ? """"???????"" ? ""?????????"" ??? ????? ?? ??????? ????????",????? ???????,02/01/2025 05:33 PM
24067,??????,?????,???????,"? ??????? ""????????????? ??????"" ?????? ?? ????????????",?????? ??????,02/01/2025 05:32 PM
24066,??????,?????,??????????,"?? ???????? ???????? ??? ?????? ""????????? ""?? ?????????????? ?????",Olha Yelizova,02/01/2025 05:31 PM
24065,??????,?????,??????????,"? ??????? ""????????? ???????"" ?? ???????????? ?????????? ""?????? ???????""",Uliana Shtefanovych,02/01/2025 05:30 PM
24064,??????,?????,???????,"?? ???????? ""?????????"" ?? ?????????????? ???????? ??????????",????? ??????,02/01/2025 05:29 PM
24063,??????,?????,??????????,"? ????? ???? ??????? ""?????????? ??????? ?? ???????????""",Dariia Kyselova,02/01/2025 05:29 PM
24062,??????,?????,??????????,????????? ?????? ? ??????? ? ????????? ??? ????? ?? ??????? ????????,"",02/01/2025 05:28 PM
24061,??????,?????,??????????,???? ????????? ?? ????????????,????????? ??????????,02/01/2025 05:24 PM
24060,??????,?????,??????????,"??? ?????? ????? ""??????? ?????????"" ?? ???????????? ?????? ???? ?????? Samsung Galaxy Tab A9 Plus 5G 8/128GB Navy SM-X216BDBE",Vadym Prochnyi,02/01/2025 05:24 PM
24059,??????,?????,??????????,"? ??????? ???? ""?????????? ???????"" ??????????? ?????? ?? ???. ?????",Uliana Shtefanovych,02/01/2025 05:19 PM
24058,??????,?????,??????????,??????????? ?????????? ??? ???????? ????? Roznica ,"",02/01/2025 05:17 PM
24057,??????,?????,??????????,? ?????? ?? ?????????????? ????????? ?????? ,Olha Yelizova,02/01/2025 05:17 PM
24056,??????,?????,??????????,??????? (?????????? ??????) ?? ???????????,????? ???????,02/01/2025 05:16 PM
24055,??????,?????,???????,"?? ??????????? ?????? ""???????""",???????? ???????,02/01/2025 05:16 PM
24054,??????,?????,???????,"?? ????????????? ??????? ?? ????????????? ? ??????? "" ?????, ??????, ???????""  ?? ????? https://www.roznica.com.ua/",Lubov Berozkina,02/01/2025 05:14 PM
24053,??????,?????,??????????,"? ??????? "" ????????? ???????"" ?? ?????????? ????","",02/01/2025 05:14 PM
24052,??????,?????,??????????,"? ???????? ???? ""??????? ???????"" ????? ???? ?? ?????????? ???????? ???????, ???? ???????? ?? ?????????.",Nadiia Panasiuk,02/01/2025 05:14 PM
24051,??????,?????,??????????,"?????????? ???????? ??????? ? ??????? ""????????? ??????""",Dariia Kyselova,02/01/2025 05:13 PM
24050,??????,?????,??????????,"??? ???? ???????? ?????? ""3D ???? ????????? ????????""",??????  ?????,02/01/2025 05:13 PM
24049,??????,?????,???????,????? ?????? ?? ???????? ???????? - ?? ?????? ????????????,Marusia Yelizova,02/01/2025 05:13 PM
24048,??????,?????,??????????,"?? ?????????????? ????????? ?? ?????????? ??????? ??? ????????? ??????? ? ""?????""",Svitlana Kovalova,02/01/2025 05:09 PM
24047,??????,?????,???????,??????? ? ??????? ????????? ??????? ?? ???????????,????? ???????,02/01/2025 05:09 PM
24046,??????,?????,??????????,"?????? ?????? ??????????? ???? ""???????? ?????""",Vadym Prochnyi,02/01/2025 05:09 PM
24045,??????,?????,??????????,"???? ""????????"" ?? ???????????? ","",02/01/2025 05:09 PM
24044,??????,?????,??????????,?? ????? Roznica ???? ???????? ?? ?????????? ? ?????? ???????? ??????.,"",02/01/2025 05:08 PM
24043,??????,?????,??????????,"????? ""???????? ????????"" ? ??????? ""???????? ?? ??????"" ?????????? ?????",Tatyana Kryachun,02/01/2025 05:08 PM
24042,??????,?????,???????,"?? ??????? ?????? ""?????????? ???????"" ??? ??????? ????",?????? ??????,02/01/2025 05:07 PM
24041,??????,?????,??????????,?? https://www.roznica.com.ua/ ? ???????? ????? ??? ??????? ?? ????????? ?? ???????? ??????? ??????,????? ??????,02/01/2025 05:07 PM
24040,??????,?????,??????????,"??? ???????????? ???? ???????? ?? ??? ??????, ??????? ??????? ????????? ""??????? ???????""",??????  ?????,02/01/2025 05:05 PM
24039,??????,?????,??????????,???????? ??????? ??????? Roznica,????? ???????,02/01/2025 05:03 PM
24038,??????,?????,??????????,"?? ????? ""?????????? ???? ?? ???? ?????? ????????????""",Dariia Kyselova,02/01/2025 05:03 PM
24037,??????,?????,??????????,"""?????????? ???????"" ?? ??????? ???????? ?????? ?? ????????????",Marusia Yelizova,02/01/2025 05:03 PM
24036,??????,?????,??????????,"?? ???????????  ???????? ?? ???.???? ???????? ? ?????? ???? ""???????? ? ??????""",???????? ???????,02/01/2025 05:02 PM
24035,??????,?????,??????????,"?? ??????? ???????? ? ????? ????? ?????? ?? ???????? ?????? ""?????????? ???????""",Olha Yelizova,02/01/2025 05:02 PM
24034,??????,?????,??????,??????????? ?????????? ??????? ?? ??????? ???????? ???????????,Marusia Yelizova,02/01/2025 05:00 PM
24033,??????,?????,??????????,"???????? ??????? ""Time: 0.078"" ????? ??????? ????????",?????? ????,02/01/2025 05:00 PM
24032,??????,?????,??????????,"? ??????? ???? ""?????/????"" ?? ???????????? ?????????????? ??????????","",02/01/2025 04:59 PM
24031,??????,?????,??????,"?????? ?????? ?? ???????? ??????????? ???? ""???????? ?????""",Vadym Prochnyi,02/01/2025 04:59 PM
24030,??????,?????,??????????,???????? ??????? ??????? Roznica,"",02/01/2025 04:58 PM
24029,??????,?????,??????????,"????????????? ??????? ??????? ??? ??????? ? ?????????? ""???????????????""",?????? ????,02/01/2025 04:57 PM
24028,??????,?????,??????????,?????? ?? ????? ???????? Rozetka ?? ??????? ?????? ?????,"",02/01/2025 04:25 PM
24027,??????,?????,??????????,"?????? ""??????"" ?? ???????????? ? ???????? ???? ","",02/01/2025 04:23 PM
24026,??????,?????,??????,"""ROZETKA"" ? ??????? ""?????? ???????????"" ? ?????? HIPP ??????????? ?????? ""??????""",?????? ??????,02/01/2025 04:20 PM
24025,??????,?????,??????,"???????? ????? ?? ?????????? ????????? ????? ???? ? ??????? ""???????? ?????????? ??? ???""",Lubov Berozkina,02/01/2025 04:20 PM
24024,??????,?????,??????,"????????? ???? ""??????"" ???? ????????? ???????? ???????? ?????? ?? ???????? ????????",Tatyana Kryachun,02/01/2025 04:20 PM
24023,??????,?????,??????,"?????? ""??????"" ?? ?????????????? ?? ??????",???? ??????,02/01/2025 04:18 PM
24022,??????,?????,??????,??? ??????? ?? ????????? ?? ??????? ???????? ??? ??????????? ???,????? ??????,02/01/2025 04:17 PM
24021,??????,?????,??????????,"??? ?????? ??????, ????? ???? ?? ""?????? ?????????""",Olha Yelizova,02/01/2025 04:17 PM
24020,??????,?????,??????,"?????? ""?????? ????????? ?????????"" ?? ?????????????? ???? ""???""",????????? ??????????,02/01/2025 04:16 PM
24019,??????,?????,??????,"?? ???????????? ???? ?????? ""?"" ??? ??????????? ?????? ""?????? ????????? ?????????"" ? ???? ""??????? ??????????""",Svitlana Kovalova,02/01/2025 04:16 PM
24018,??????,?????,??????????,"?? ?????????????? ???? ????? ?? ???????? Heep, ????? ????? ???????",???????? ???????,02/01/2025 04:16 PM
24017,??????,?????,??????,"?? ???????????? ""?????? ?????? ????? ??????""",Dariia Kyselova,02/01/2025 04:15 PM
24016,??????,?????,??????????,"?? ???????? ??????, ?? ??????? ????????, ??? ????? ?????? ""?""",??????  ?????,02/01/2025 04:15 PM
24015,??????,?????,??????,"?? ???????????? ???? ""???"" ?? ?????? ""?????? ?????????""",?????? ????,02/01/2025 04:15 PM
24014,??????,?????,??????????,"??????????? c????? ?????? ? ???????? ""hipps"" ? ??????? ?????? ???????????",Vadym Prochnyi,02/01/2025 04:15 PM
24013,??????,?????,??????,???? ? ?? ???????????? ?? ????????? ???????,????? ???????,02/01/2025 04:15 PM
24012,??????,?????,??????,"???? ? ??????? ??????? ???????? ""???????? ?????????? ??? ???"" ???????????? ??? ?????? ??????",Marusia Yelizova,02/01/2025 04:14 PM
24011,??????,?????,??????????,"?????? ""??????"" ?? ???????? ??????? ? ?????? ?????? ?? ???????????? ","",02/01/2025 04:14 PM
24010,??????,?????,??????,"???????? ?????????? ?????? ? ????????? ""???????? ??????? ??? ???"" - ""?????? ????????? ????????? HiPP ? ??????? ? ???????""",Nadiia Panasiuk,02/01/2025 04:12 PM
24009,??????,?????,??????????,"?? ???????????? ?????? ? ??????? ""???????? ?????????? ??? ???""",Olha Yelizova,02/01/2025 04:08 PM
24008,??????,?????,??????????,"?????? ""???????? ?????????? ??? ???"" ???????? ???????????",Marusia Yelizova,02/01/2025 04:06 PM
24007,??????,?????,??????????,?????? ?????????? ????? ?? ?????????????? ? ??????? ?????,"",02/01/2025 04:01 PM
24006,??????,?????,??????,"?????? ""?????????? ?????"" ?? ?????????????? ? ???????? ????",????????? ??????????,02/01/2025 03:59 PM
24005,??????,?????,??????????,"????? ?????? ????????? ?"" ??????????? ??????""? ???????? ????",????? ??????,02/01/2025 03:58 PM
24004,??????,?????,??????????,"?????? ? ""??????????? ??????""",Lubov Berozkina,02/01/2025 03:57 PM
24003,??????,?????,??????????,"?? ????? ""??????? Rozetka"" ? ???????? ???? ??????? ?????? ?????????? ????? ",???????? ???????,02/01/2025 03:57 PM
24002,??????,?????,??????????,"?? ????? ??????? ?? ?????????? ""?????????? ?????"" ? ???????? ????.",Nadiia Panasiuk,02/01/2025 03:57 PM
24001,??????,?????,??????,?????? ??????????? ?????? ? ???????? Rozetka ?? ???????????? ? ??????? ????,Tatyana Kryachun,02/01/2025 03:56 PM
24000,??????,?????,??????????,"?????? "" ?????????? ?????"" ?? ???????????? ? ??????? ???? ",????????? ???????,02/01/2025 03:56 PM
23999,??????,?????,??????,"?? ????????????? ?????? ????? ?????? ""?????????? ?????"" ? ??????? ????",?????? ????,02/01/2025 03:56 PM
23998,??????,?????,??????,"??????????? ?????? ? ???? ? ????? ????? ?????? ? ???????? ""?????????? ?????""","",02/01/2025 03:56 PM
23997,??????,?????,??????????,"????  ????? ""?????????????? ?????"" ?? ???????????? ?? ????? ",Dariia Kyselova,02/01/2025 03:53 PM
23996,??????,?????,??????????,"?? ???  ?????? ????? ""?????????? ?????""",Olha Yelizova,02/01/2025 03:53 PM
23995,??????,?????,??????????,"?????? ""?????????? ?????"" ?? ?????????????? ? ???????? ????",???? ??????,02/01/2025 03:52 PM
23994,??????,?????,??????,"?? ???????????? ?????? ""????????? ?????"" ? ??????? ????",Svitlana Kovalova,02/01/2025 03:51 PM
23993,??????,?????,??????,"?? ????????????? ?????? ????? ""?????????? ?????""",?????? ????,02/01/2025 03:51 PM
23992,??????,?????,??????????,"?????? ""?????????? ?????"" ?? ?????? ??????? ",??????  ?????,02/01/2025 03:51 PM
23991,??????,?????,??????,"?????? ????? ""?????????? ?????"" ???????????",Marusia Yelizova,02/01/2025 03:50 PM
23990,??????,?????,??????,?????? *?????????? ?????* ?? ????????????,????? ???????,02/01/2025 03:50 PM
23989,??????,?????,??????,"?????? ? ""?????????? ?????"" ?? ???????????? ? ??????? ????",Uliana Shtefanovych,02/01/2025 03:50 PM
23988,??????,?????,??????????,"?????? ""??"" ?? ????????? ???? ""? ?????????""",Marusia Yelizova,02/01/2025 03:39 PM
23987,??????,?????,??????????,"?????? ""??"" ?? ????????? ???? ""? ?????????""",Redmine Admin,02/01/2025 03:38 PM
23986,??????,?????,??????????,??????? ????? ?? ????? qwertyshop.ua,????? ??????,02/01/2025 02:26 PM
23985,??????,?????,??????????,"?????? ""??????? Rozetka"" ?? ?????????????? ? ???????? ????.",Nadiia Panasiuk,02/01/2025 03:07 AM
23984,??????,?????,??????????,??????? ????? ?? ????? Querty shop,Telipko Anastasiia,01/31/2025 10:51 PM
23983,??????,?????,??????????,"?????? ""??????? Rozetka"" ?? ???????????? ? ??????? ????",Tatyana Kryachun,01/31/2025 10:35 PM
23982,??????,?????,??????????,?????? ???????? ??????? ?? ????????????? ??????? ????,"",01/31/2025 08:58 PM
23981,??????,?????,??????????,"?????? ""??????? Rozetka"" ?? ????????????? ? ??????? ????",Svitlana Kovalova,01/31/2025 08:48 PM
23980,??????,?????,??????????,?????? ???????? ??????? ?? ???????????? ? ??????? ????,"",01/31/2025 08:47 PM
23979,??????,?????,??????????,"?????? ??????? ""Rozetka"" ?? ?????????????? ? ??????? ????",Iryna Vasyliv,01/31/2025 08:46 PM
23978,??????,?????,??????????,?????? ''??????? Rozetka'' ?? ???????????? ? ??????? ????,????????? ???????,01/31/2025 08:45 PM
23976,??????,?????,??????????,"??????  ""??????? ???????""?? ???????????? ? ??????? ????",Olha Yelizova,01/31/2025 08:44 PM
23975,??????,?????,??????????,"?????? ""??????? ???????"" ?? ?????????????? ? ???????? ????",????????? ??????????,02/01/2025 11:52 AM
23973,??????,?????,??????????,"?????? "" ??????? Rozetka"" ?? ???????????? ? ??????? ????",Lubov Berozkina,01/31/2025 08:39 PM
23972,??????,?????,??????????,"?????? ""??????? Rozetka"" ?? ?????????????? ? ???????? ????",???????? ???????,01/31/2025 08:39 PM
23971,??????,?????,??????????,"??????""??????? ???????"" ?? ?????????????? ????",???? ??????,01/31/2025 08:39 PM
23969,??????,?????,??????????,"?????? ? ""??????? Rozetka"" ?? ???????????? ? ??????? ????",Uliana Shtefanovych,01/31/2025 08:37 PM
23968,??????,?????,??????????,?????? ??????? ??????? ?? ?????????????? ? ??????? ????,????? ??????,01/31/2025 08:37 PM
23967,??????,?????,???????,?????? ???????? Rozetka ?? ???????????? ? ??????? ????,?????? ??????,01/31/2025 08:36 PM
23966,??????,?????,??????????,"?????? ""??????? Rozetka"" ?? ????????????? ? ??????? ????",?????? ????,01/31/2025 08:36 PM
23965,??????,?????,??????????,"?????? ""??????? Rozetka"" ?? ???????????? ? ??????? ????",Vadym Prochnyi,01/31/2025 08:36 PM
23963,??????,?????,??????????,?????? ?? ????? ???????? Rozetka ?? ?????????????? ? ??????? ????,Iryna Vasyliv,01/31/2025 08:36 PM
23961,??????,?????,??????????,"?????? ""??????? ???????"" ?? ???????????? ? ??????? ????",Telipko Anastasiia,01/31/2025 08:36 PM
23960,??????,?????,??????????,"?????? ""??????? Rozetka"" ?? ???????????? ? ??????? ????",Marusia Yelizova,01/31/2025 08:35 PM
23959,??????,?????,??????,"?????? ""??????? Rozetka"" ?? ???????????? ? ??????? ????",????? ???????,01/31/2025 08:35 PM
